2025-04-16 18:37:16,Xe máy,2,frames/frame_2025-04-16 18-37-16.jpg,Unknown
2025-04-16 18:37:17,Xe tải,1,frames/frame_2025-04-16 18-37-17.jpg,Unknown
2025-04-16 18:37:17,Xe máy,2,frames/frame_2025-04-16 18-37-17.jpg,Unknown
2025-04-16 18:37:17,Xe tải,1,frames/frame_2025-04-16 18-37-17.jpg,Unknown
2025-04-16 18:37:17,Xe máy,2,frames/frame_2025-04-16 18-37-17.jpg,Unknown
2025-04-16 18:37:17,Xe tải,1,frames/frame_2025-04-16 18-37-17.jpg,Unknown
2025-04-16 18:37:18,Xe tải,1,frames/frame_2025-04-16 18-37-18.jpg,Unknown
2025-04-16 18:37:18,Xe tải,1,frames/frame_2025-04-16 18-37-18.jpg,Unknown
2025-04-16 18:37:18,Xe máy,2,frames/frame_2025-04-16 18-37-18.jpg,Unknown
2025-04-16 18:37:19,Xe tải,1,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:19,Xe máy,2,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:19,Xe máy,2,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:19,Xe tải,1,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:19,Xe máy,2,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:19,Xe máy,2,frames/frame_2025-04-16 18-37-19.jpg,Unknown
2025-04-16 18:37:20,Xe tải,1,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:20,Xe máy,2,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:20,Xe tải,1,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:20,Xe máy,2,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:20,Xe máy,2,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:20,Xe máy,2,frames/frame_2025-04-16 18-37-20.jpg,Unknown
2025-04-16 18:37:21,Xe tải,1,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:21,Xe máy,2,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:21,Xe máy,2,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:21,Xe tải,1,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:21,Xe máy,2,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:21,Xe máy,2,frames/frame_2025-04-16 18-37-21.jpg,Unknown
2025-04-16 18:37:22,Xe tải,1,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe máy,2,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe máy,2,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe tải,1,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe máy,2,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe tải,1,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe máy,2,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:22,Xe máy,2,frames/frame_2025-04-16 18-37-22.jpg,Unknown
2025-04-16 18:37:23,Xe tải,1,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe máy,2,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe tải,1,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe máy,2,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe máy,2,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe tải,1,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:23,Xe máy,2,frames/frame_2025-04-16 18-37-23.jpg,Unknown
2025-04-16 18:37:24,Xe máy,2,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:24,Xe tải,1,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:24,Xe máy,2,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:24,Xe máy,2,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:24,Xe máy,2,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:24,Xe tải,1,frames/frame_2025-04-16 18-37-24.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe tải,1,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe tải,1,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe tải,1,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:25,Xe máy,2,frames/frame_2025-04-16 18-37-25.jpg,Unknown
2025-04-16 18:37:26,Xe máy,2,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe tải,1,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe máy,2,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe tải,1,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe máy,2,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe máy,2,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:26,Xe tải,1,frames/frame_2025-04-16 18-37-26.jpg,Unknown
2025-04-16 18:37:27,Xe máy,2,frames/frame_2025-04-16 18-37-27.jpg,Unknown
2025-04-16 18:37:27,Xe tải,1,frames/frame_2025-04-16 18-37-27.jpg,Unknown
2025-04-16 18:37:27,Xe tải,1,frames/frame_2025-04-16 18-37-27.jpg,Unknown
2025-04-16 18:37:28,Xe tải,1,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:28,Xe máy,2,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:28,Xe máy,2,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:28,Xe tải,1,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:28,Xe máy,2,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:28,Xe tải,1,frames/frame_2025-04-16 18-37-28.jpg,Unknown
2025-04-16 18:37:29,Xe tải,1,frames/frame_2025-04-16 18-37-29.jpg,Unknown
2025-04-16 18:37:29,Xe máy,2,frames/frame_2025-04-16 18-37-29.jpg,Unknown
2025-04-16 18:37:29,Xe máy,2,frames/frame_2025-04-16 18-37-29.jpg,Unknown
2025-04-16 18:37:29,Xe máy,2,frames/frame_2025-04-16 18-37-29.jpg,Unknown
2025-04-16 18:37:29,Xe tải,1,frames/frame_2025-04-16 18-37-29.jpg,Unknown
2025-04-16 18:37:30,Xe tải,1,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe máy,2,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe tải,1,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe máy,2,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe máy,2,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe tải,1,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:30,Xe máy,2,frames/frame_2025-04-16 18-37-30.jpg,Unknown
2025-04-16 18:37:31,Xe tải,1,frames/frame_2025-04-16 18-37-31.jpg,Unknown
2025-04-16 18:37:31,Xe tải,1,frames/frame_2025-04-16 18-37-31.jpg,Unknown
2025-04-16 18:37:31,Xe tải,1,frames/frame_2025-04-16 18-37-31.jpg,Unknown
2025-04-16 18:37:31,Xe máy,2,frames/frame_2025-04-16 18-37-31.jpg,Unknown
2025-04-16 18:37:32,Xe tải,1,frames/frame_2025-04-16 18-37-32.jpg,Unknown
2025-04-16 18:37:32,Xe tải,1,frames/frame_2025-04-16 18-37-32.jpg,Unknown
2025-04-16 18:37:33,Xe tải,1,frames/frame_2025-04-16 18-37-33.jpg,Unknown
2025-04-16 18:37:34,Xe tải,1,frames/frame_2025-04-16 18-37-34.jpg,Unknown
2025-04-16 18:37:34,Xe tải,1,frames/frame_2025-04-16 18-37-34.jpg,Unknown
2025-04-16 18:37:34,Xe máy,2,frames/frame_2025-04-16 18-37-34.jpg,Unknown
2025-04-16 18:37:34,Xe máy,2,frames/frame_2025-04-16 18-37-34.jpg,Unknown
2025-04-16 18:37:35,Xe tải,1,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:35,Xe máy,2,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:35,Xe tải,1,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:35,Xe máy,2,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:35,Xe tải,1,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:35,Xe máy,2,frames/frame_2025-04-16 18-37-35.jpg,Unknown
2025-04-16 18:37:36,Xe tải,1,frames/frame_2025-04-16 18-37-36.jpg,Unknown
2025-04-16 18:37:36,Xe máy,2,frames/frame_2025-04-16 18-37-36.jpg,Unknown
2025-04-16 18:37:36,Xe tải,1,frames/frame_2025-04-16 18-37-36.jpg,Unknown
2025-04-16 18:37:36,Xe máy,2,frames/frame_2025-04-16 18-37-36.jpg,Unknown
2025-04-16 18:37:37,Xe tải,1,frames/frame_2025-04-16 18-37-37.jpg,Unknown
2025-04-16 18:37:37,Xe tải,1,frames/frame_2025-04-16 18-37-37.jpg,Unknown
2025-04-16 18:37:37,Xe máy,2,frames/frame_2025-04-16 18-37-37.jpg,Unknown
2025-04-16 18:37:37,Xe tải,1,frames/frame_2025-04-16 18-37-37.jpg,Unknown
2025-04-16 18:37:37,Xe máy,2,frames/frame_2025-04-16 18-37-37.jpg,Unknown
2025-04-16 18:37:38,Xe tải,1,frames/frame_2025-04-16 18-37-38.jpg,Unknown
2025-04-16 18:37:38,Xe máy,2,frames/frame_2025-04-16 18-37-38.jpg,Unknown
2025-04-16 18:37:38,Xe tải,1,frames/frame_2025-04-16 18-37-38.jpg,Unknown
2025-04-16 18:37:38,Xe tải,1,frames/frame_2025-04-16 18-37-38.jpg,Unknown
